sheet_number,,,gcp_file,id,source,url,annotation_output,gcp_output
29,jacoubet,Atlas_de_Jacoubet_-_29._Champ_de_Mars_et_ses_environs_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_29._Champ_de_Mars_et_ses_environs_-_BHVP.jpg.points,bhvp_jacoubet_29,Atlas_de_Jacoubet_-_29._Champ_de_Mars_et_ses_environs_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_29._Champ_de_Mars_et_ses_environs_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_29.json,
30,jacoubet,Atlas_de_Jacoubet_-_30._Hôtel_Royal_des_Invalides_et_ses_environs_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_30._Hôtel_Royal_des_Invalides_et_ses_environs_-_BHVP.jpg.points,bhvp_jacoubet_30,Atlas_de_Jacoubet_-_30._Hotel_Royal_des_Invalides_et_ses_environs_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_30._Hotel_Royal_des_Invalides_et_ses_environs_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_30.json,
31,jacoubet,Atlas_de_Jacoubet_-_31._Eglise_St_Sulpice_et_ses_environs_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_31._Eglise_St_Sulpice_et_ses_environs_-_BHVP.jpg.points,bhvp_jacoubet_31,Atlas_de_Jacoubet_-_31._Eglise_St_Sulpice_et_ses_environs_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_31._Eglise_St_Sulpice_et_ses_environs_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_31.json,
32,jacoubet,Atlas_de_Jacoubet_-_32._Palais_de_Justice_et_ses_environs_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_32._Palais_de_Justice_et_ses_environs_-_BHVP.jpg.points,bhvp_jacoubet_32,Atlas_de_Jacoubet_-_32._Palais_de_Justice_et_ses_environs_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_32._Palais_de_Justice_et_ses_environs_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_32.json,
33,jacoubet,Atlas_de_Jacoubet_-_33._Ile_Saint-Louis_et_ses_environs_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_33._Ile_Saint-Louis_et_ses_environs_-_BHVP.jpg.points,bhvp_jacoubet_33,Atlas_de_Jacoubet_-_33._Ile_Saint-Louis_et_ses_environs_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_33._Ile_Saint-Louis_et_ses_environs_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_33.json,
34,jacoubet,Atlas_de_Jacoubet_-_34.Place_de_la_Bastille_et_ses_environs_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_34.Place_de_la_Bastille_et_ses_environs_-_BHVP.jpg.points,bhvp_jacoubet_34,Atlas_de_Jacoubet_-_34.Place_de_la_Bastille_et_ses_environs_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_34.Place_de_la_Bastille_et_ses_environs_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_34.json,
35,jacoubet,Atlas_de_Jacoubet_-_35._Manufacture_des_Glaces_et_ses_environs_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_35._Manufacture_des_Glaces_et_ses_environs_-_BHVP.jpg.points,bhvp_jacoubet_35,Atlas_de_Jacoubet_-_35._Manufacture_des_Glaces_et_ses_environs_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_35._Manufacture_des_Glaces_et_ses_environs_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_35.json,
36,jacoubet,Atlas_de_Jacoubet_-_36._Barrière_du_Trône_et_ses_environs_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_36._Barrière_du_Trône_et_ses_environs_-_BHVP.jpg.points,bhvp_jacoubet_36,Atlas_de_Jacoubet_-_36._Barriere_du_Trone_et_ses_environs_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_36._Barriere_du_Trone_et_ses_environs_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_36.json,
37,jacoubet,Atlas_de_Jacoubet_-_37._Plaine_de_Grenelle_ouest_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_37._Plaine_de_Grenelle_ouest_-_BHVP.jpg.points,bhvp_jacoubet_37,Atlas_de_Jacoubet_-_37._Plaine_de_Grenelle_ouest_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_37._Plaine_de_Grenelle_ouest_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_37.json,
38,jacoubet,Atlas_de_Jacoubet_-_38._Plaine_de_Grenelle_est_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_38._Plaine_de_Grenelle_est_-_BHVP.jpg.points,bhvp_jacoubet_38,Atlas_de_Jacoubet_-_38._Plaine_de_Grenelle_est_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_38._Plaine_de_Grenelle_est_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_38.json,
