,,gcp_file,id,url,annotation_output,gcp_output
10110061,RUMSEY~8~1~305687~90076051,rumsey_verniquet/10110061.jp2.points,rumsey_verniquet_60,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305687~90076051,output/rumsey_verniquet/10110061.json,
10110062,RUMSEY~8~1~305688~90076050,rumsey_verniquet/10110062.jp2.points,rumsey_verniquet_61,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305688~90076050,output/rumsey_verniquet/10110062.json,
10110063,RUMSEY~8~1~305689~90076049,rumsey_verniquet/10110063.jp2.points,rumsey_verniquet_62,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305689~90076049,output/rumsey_verniquet/10110063.json,
10110064,RUMSEY~8~1~305690~90076048,rumsey_verniquet/10110064.jp2.points,rumsey_verniquet_63,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305690~90076048,output/rumsey_verniquet/10110064.json,
10110065,RUMSEY~8~1~305691~90076047,rumsey_verniquet/10110065.jp2.points,rumsey_verniquet_64,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305691~90076047,output/rumsey_verniquet/10110065.json,
10110066,RUMSEY~8~1~305692~90076046,rumsey_verniquet/10110066.jp2.points,rumsey_verniquet_65,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305692~90076046,output/rumsey_verniquet/10110066.json,
10110067,RUMSEY~8~1~305693~90076045,rumsey_verniquet/10110067.jp2.points,rumsey_verniquet_66,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305693~90076045,output/rumsey_verniquet/10110067.json,
10110068,RUMSEY~8~1~305694~90076044,rumsey_verniquet/10110068.jp2.points,rumsey_verniquet_67,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305694~90076044,output/rumsey_verniquet/10110068.json,
10110069,RUMSEY~8~1~305695~90076043,rumsey_verniquet/10110069.jp2.points,rumsey_verniquet_68,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305695~90076043,output/rumsey_verniquet/10110069.json,
10110070,RUMSEY~8~1~305696~90076042,rumsey_verniquet/10110070.jp2.points,rumsey_verniquet_69,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305696~90076042,output/rumsey_verniquet/10110070.json,
10110071,RUMSEY~8~1~305697~90076041,rumsey_verniquet/10110071.jp2.points,rumsey_verniquet_70,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305697~90076041,output/rumsey_verniquet/10110071.json,
10110072,RUMSEY~8~1~305698~90076040,rumsey_verniquet/10110072.jp2.points,rumsey_verniquet_71,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305698~90076040,output/rumsey_verniquet/10110072.json,
10110073,RUMSEY~8~1~305699~90076039,rumsey_verniquet/10110073.jp2.points,rumsey_verniquet_72,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305699~90076039,output/rumsey_verniquet/10110073.json,
